Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MPN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MPN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MPN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MPN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MPN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MPN_M_R
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Water
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Forest
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,NULL
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Forest
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
